as400|agcpcpp|1|CPZMDT|CHAR|3|0|0
as400|agcpcpp|2|CPJ6AF|INTEGER|9|0|0
as400|agcpcpp|3|CPANA0|CHAR|51|0|0
as400|agcpcpp|4|CPGVTV|CHAR|50|0|0
as400|agcpcpp|5|CPANA1|CHAR|50|0|0
as400|agcpcpp|6|CPANA3|CHAR|30|0|0
as400|agcpcpp|7|CPZ9TX|CHAR|30|0|0
as400|agcpcpp|8|CPGWTV|CHAR|5|0|0
as400|agcpcpp|9|CPAORT|CHAR|30|0|0
as400|agcpcpp|10|CPZ4TU|CHAR|16|0|0
as400|agcpcpp|11|CPAFAX|CHAR|16|0|0
as400|agcpcpp|12|CPALKZ|CHAR|3|0|0
as400|agcpcpp|13|CPGXTV|CHAR|2|0|0
as400|agcpcpp|14|CPDVDT|INTEGER|7|0|0
as400|agcpcpp|15|CPDWDT|INTEGER|7|0|0
as400|agcpcpp|16|CPAJTM|INTEGER|6|0|0
as400|agcpcpp|17|CPLPXT|CHAR|10|0|0
as400|agcpcpp|18|CPLQXT|CHAR|10|0|0
as400|agcpcpp|19|CPNUST|CHAR|2|0|0
as400|agcpcpp|20|CPUMCE|CHAR|9|0|0
